wavelength (nm),sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,More Wavelength,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18
399.9,1.157526201,0.685082439,0.738950738,0.37806281,0.291399765,0.251528149,0.155770916,0.110090259,0.069480219,400,1.075407874,0.833830416,0.580625738,0.219124209,0.156601301,0.105942156,1.395813638,1.180633962,0.696417744
400.7,1.135970707,0.664465584,0.718389143,0.36484682,0.28079124,0.243589818,0.152088824,0.107524827,0.067704253,400.9,1.058729248,0.817333369,0.562800355,0.213039188,0.15261072,0.103369487,1.384267106,1.168555159,0.677276802
401.6,1.1153238,0.643702202,0.696762331,0.351862142,0.270585112,0.235381021,0.148648368,0.105291865,0.065890816,401.8,1.040894175,0.798422324,0.545496927,0.207740866,0.149895763,0.101040137,1.36827871,1.151647297,0.657102388
402.5,1.092450398,0.622486811,0.675589036,0.338866618,0.260377255,0.227790358,0.145500218,0.103078253,0.064067072,402.7,1.022350486,0.778861215,0.527381983,0.202125723,0.147028893,0.099577528,1.351078225,1.133485263,0.638491439
403.3,1.070380841,0.601308785,0.653497689,0.326289201,0.250733992,0.219857075,0.142079618,0.100584757,0.062942338,403.6,1.005048116,0.758773782,0.510119272,0.196644988,0.145318157,0.098132685,1.336789569,1.113563212,0.618298664
404.2,1.045059325,0.57962542,0.633012234,0.313159702,0.241735752,0.212489955,0.1393317,0.098260824,0.06194639,404.5,0.985842844,0.73666077,0.492490393,0.191672195,0.143836549,0.096857494,1.322652305,1.092340901,0.597884315
405,1.019562585,0.558142617,0.61083686,0.300786294,0.233379977,0.205554282,0.136809244,0.09648728,0.061093438,405.4,0.964604153,0.713354682,0.476340692,0.187100215,0.142309042,0.095425107,1.307075443,1.070601701,0.57591574
405.9,0.994744366,0.536748694,0.589374664,0.288642813,0.224555013,0.198710288,0.134361046,0.09491975,0.059924812,406.3,0.941567023,0.688588334,0.459472012,0.182964354,0.141459253,0.094672783,1.29043243,1.046420421,0.555966379
406.7,0.968424858,0.515926476,0.566625726,0.277578587,0.215953134,0.191989461,0.13130789,0.093077793,0.05827904,407.2,0.918344194,0.664758116,0.441909255,0.179213856,0.139964155,0.093718745,1.270171318,1.022652494,0.536349912
407.6,0.942634348,0.495693896,0.545985312,0.266886553,0.208342334,0.185807757,0.128745934,0.091638038,0.057338519,408,0.894070535,0.641007546,0.423834999,0.175465764,0.138922431,0.09253893,1.249119126,0.998771614,0.516909431
